ins 	addr1 	addr2 	porc 	mem 	mod
0	0	0	0	0	0
3	0	0	0	0	0
0	0	0	0	0	0
3	1	0	0	0	0
0	0	0	0	0	0
3	2	0	0	0	0
0	0	0	0	0	0
3	3	0	0	0	0
0	0	0	0	0	0
3	4	0	0	0	0
0	0	0	0	0	0
3	5	0	0	0	0
0	0	0	0	0	0
3	6	0	0	0	0
0	0	0	0	0	0
3	7	0	0	0	0
0	0	0	0	0	0
3	8	0	0	0	0
0	0	0	0	0	0
3	9	0	0	0	0
0	0	0	0	0	0
3	10	0	0	0	0
0	0	0	0	0	0
3	11	0	0	0	0
0	0	0	0	0	0
3	12	0	0	0	0
0	0	0	0	0	0
3	13	0	0	0	0
0	0	0	0	0	0
3	14	0	0	0	0
0	0	0	0	0	0
3	15	0	0	0	0
0	0	0	0	0	0
3	16	0	0	0	0
0	0	0	0	0	0
3	17	0	0	0	0
0	0	0	0	0	0
3	18	0	0	0	0
0	0	0	0	0	0
3	19	0	0	0	0
0	0	0	0	0	0
3	20	0	0	0	0
0	0	0	0	0	0
3	21	0	0	0	0
0	0	0	0	0	0
3	22	0	0	0	0
0	0	0	0	0	0
3	23	0	0	0	0
0	0	0	0	0	0
3	24	0	0	0	0
0	0	0	0	0	0
3	25	0	0	0	0
0	0	0	0	0	0
3	26	0	0	0	0
0	0	0	0	0	0
3	27	0	0	0	0
0	0	0	0	0	0
3	28	0	0	0	0
0	0	0	0	0	0
3	29	0	0	0	0
0	0	0	0	0	0
3	30	0	0	0	0
0	0	0	0	0	0
3	31	0	0	0	0
0	0	0	0	0	0
3	32	0	0	0	0
0	0	0	0	0	0
3	33	0	0	0	0
0	0	0	0	0	0
3	34	0	0	0	0
0	0	0	0	0	0
3	35	0	0	0	0
0	0	0	0	0	0
3	36	0	0	0	0
0	0	0	0	0	0
3	37	0	0	0	0
0	0	0	0	0	0
3	38	0	0	0	0
0	0	0	0	0	0
3	39	0	0	0	0
0	0	0	0	0	0
3	40	0	0	0	0
0	0	0	0	0	0
3	41	0	0	0	0
0	0	0	0	0	0
3	42	0	0	0	0
0	0	0	0	0	0
3	43	0	0	0	0
0	0	0	0	0	0
3	44	0	0	0	0
0	0	0	0	0	0
3	45	0	0	0	0
0	0	0	0	0	0
3	46	0	0	0	0
0	0	0	0	0	0
3	47	0	0	0	0
0	0	0	0	0	0
3	48	0	0	0	0
0	0	0	0	0	0
3	49	0	0	0	0
0	0	0	0	0	0
3	50	0	0	0	0
0	0	0	0	0	0
3	51	0	0	0	0
0	0	0	0	0	0
3	52	0	0	0	0
0	0	0	0	0	0
3	53	0	0	0	0
0	0	0	0	0	0
3	54	0	0	0	0
0	0	0	0	0	0
3	55	0	0	0	0
0	0	0	0	0	0
3	56	0	0	0	0
0	0	0	0	0	0
3	57	0	0	0	0
0	0	0	0	0	0
3	58	0	0	0	0
0	0	0	0	0	0
3	59	0	0	0	0
0	0	0	0	0	0
3	60	0	0	0	0
0	0	0	0	0	0
3	61	0	0	0	0
0	0	0	0	0	0
3	62	0	0	0	0
0	0	0	0	0	0
3	63	0	0	0	0
0	0	0	0	0	0
3	64	0	0	0	0
0	0	0	0	0	0
3	65	0	0	0	0
0	0	0	0	0	0
3	66	0	0	0	0
0	0	0	0	0	0
3	67	0	0	0	0
0	0	0	0	0	0
3	68	0	0	0	0
0	0	0	0	0	0
3	69	0	0	0	0
0	0	0	0	0	0
3	70	0	0	0	0
0	0	0	0	0	0
3	71	0	0	0	0
0	0	0	0	0	0
3	72	0	0	0	0
0	0	0	0	0	0
3	73	0	0	0	0
0	0	0	0	0	0
3	74	0	0	0	0
0	0	0	0	0	0
3	75	0	0	0	0
0	0	0	0	0	0
3	76	0	0	0	0
0	0	0	0	0	0
3	77	0	0	0	0
0	0	0	0	0	0
3	78	0	0	0	0
0	0	0	0	0	0
3	79	0	0	0	0
0	0	0	0	0	0
3	80	0	0	0	0
0	0	0	0	0	0
3	81	0	0	0	0
0	0	0	0	0	0
3	82	0	0	0	0
0	0	0	0	0	0
3	83	0	0	0	0
0	0	0	0	0	0
3	84	0	0	0	0
0	0	0	0	0	0
3	85	0	0	0	0
0	0	0	0	0	0
3	86	0	0	0	0
0	0	0	0	0	0
3	87	0	0	0	0
0	0	0	0	0	0
3	88	0	0	0	0
0	0	0	0	0	0
3	89	0	0	0	0
0	0	0	0	0	0
3	90	0	0	0	0
0	0	0	0	0	0
3	91	0	0	0	0
0	0	0	0	0	0
3	92	0	0	0	0
0	0	0	0	0	0
3	93	0	0	0	0
0	0	0	0	0	0
3	94	0	0	0	0
0	0	0	0	0	0
3	95	0	0	0	0
0	0	0	0	0	0
3	96	0	0	0	0
0	0	0	0	0	0
3	97	0	0	0	0
0	0	0	0	0	0
3	98	0	0	0	0
0	0	0	0	0	0
3	99	0	0	0	0
0	0	0	0	0	0
3	100	0	0	0	0
0	0	0	0	0	0
3	101	0	0	0	0
0	0	0	0	0	0
3	102	0	0	0	0
0	0	0	0	0	0
3	103	0	0	0	0
0	0	0	0	0	0
3	104	0	0	0	0
0	0	0	0	0	0
3	105	0	0	0	0
0	0	0	0	0	0
3	106	0	0	0	0
0	0	0	0	0	0
3	107	0	0	0	0
0	0	0	0	0	0
3	108	0	0	0	0
0	0	0	0	0	0
3	109	0	0	0	0
0	0	0	0	0	0
3	110	0	0	0	0
0	0	0	0	0	0
3	111	0	0	0	0
0	0	0	0	0	0
3	112	0	0	0	0
0	0	0	0	0	0
3	113	0	0	0	0
0	0	0	0	0	0
3	114	0	0	0	0
0	0	0	0	0	0
3	115	0	0	0	0
0	0	0	0	0	0
3	116	0	0	0	0
0	0	0	0	0	0
3	117	0	0	0	0
0	0	0	0	0	0
3	118	0	0	0	0
0	0	0	0	0	0
3	119	0	0	0	0
0	0	0	0	0	0
3	120	0	0	0	0
0	0	0	0	0	0
3	121	0	0	0	0
0	0	0	0	0	0
3	122	0	0	0	0
0	0	0	0	0	0
3	123	0	0	0	0
0	0	0	0	0	0
3	124	0	0	0	0
0	0	0	0	0	0
3	125	0	0	0	0
0	0	0	0	0	0
3	126	0	0	0	0
0	0	0	0	0	0
3	127	0	0	0	0
0	0	0	0	0	0
3	128	0	0	0	0
0	0	0	0	0	0
3	129	0	0	0	0
0	0	0	0	0	0
3	130	0	0	0	0
0	0	0	0	0	0
3	131	0	0	0	0
0	0	0	0	0	0
3	132	0	0	0	0
0	0	0	0	0	0
3	133	0	0	0	0
0	0	0	0	0	0
3	134	0	0	0	0
0	0	0	0	0	0
3	135	0	0	0	0
0	0	0	0	0	0
3	136	0	0	0	0
0	0	0	0	0	0
3	137	0	0	0	0
0	0	0	0	0	0
3	138	0	0	0	0
0	0	0	0	0	0
3	139	0	0	0	0
0	0	0	0	0	0
3	140	0	0	0	0
0	0	0	0	0	0
3	141	0	0	0	0
0	0	0	0	0	0
3	142	0	0	0	0
0	0	0	0	0	0
3	143	0	0	0	0
0	0	0	0	0	0
3	144	0	0	0	0
0	0	0	0	0	0
3	145	0	0	0	0
0	0	0	0	0	0
3	146	0	0	0	0
0	0	0	0	0	0
3	147	0	0	0	0
0	0	0	0	0	0
3	148	0	0	0	0
0	0	0	0	0	0
3	149	0	0	0	0
0	0	0	0	0	0
3	150	0	0	0	0
0	0	0	0	0	0
3	151	0	0	0	0
0	0	0	0	0	0
3	152	0	0	0	0
0	0	0	0	0	0
3	153	0	0	0	0
0	0	0	0	0	0
3	154	0	0	0	0
0	0	0	0	0	0
3	155	0	0	0	0
0	0	0	0	0	0
3	156	0	0	0	0
0	0	0	0	0	0
3	157	0	0	0	0
0	0	0	0	0	0
3	158	0	0	0	0
0	0	0	0	0	0
3	159	0	0	0	0
0	0	0	0	0	0
3	160	0	0	0	0
0	0	0	0	0	0
3	161	0	0	0	0
0	0	0	0	0	0
3	162	0	0	0	0
0	0	0	0	0	0
3	163	0	0	0	0
0	0	0	0	0	0
3	164	0	0	0	0
0	0	0	0	0	0
3	165	0	0	0	0
0	0	0	0	0	0
3	166	0	0	0	0
0	0	0	0	0	0
3	167	0	0	0	0
0	0	0	0	0	0
3	168	0	0	0	0
0	0	0	0	0	0
3	169	0	0	0	0
0	0	0	0	0	0
3	170	0	0	0	0
0	0	0	0	0	0
3	171	0	0	0	0
0	0	0	0	0	0
3	172	0	0	0	0
0	0	0	0	0	0
3	173	0	0	0	0
0	0	0	0	0	0
3	174	0	0	0	0
0	0	0	0	0	0
3	175	0	0	0	0
0	0	0	0	0	0
3	176	0	0	0	0
0	0	0	0	0	0
3	177	0	0	0	0
0	0	0	0	0	0
3	178	0	0	0	0
0	0	0	0	0	0
3	179	0	0	0	0
0	0	0	0	0	0
3	180	0	0	0	0
0	0	0	0	0	0
3	181	0	0	0	0
0	0	0	0	0	0
3	182	0	0	0	0
0	0	0	0	0	0
3	183	0	0	0	0
0	0	0	0	0	0
3	184	0	0	0	0
0	0	0	0	0	0
3	185	0	0	0	0
0	0	0	0	0	0
3	186	0	0	0	0
0	0	0	0	0	0
3	187	0	0	0	0
0	0	0	0	0	0
3	188	0	0	0	0
0	0	0	0	0	0
3	189	0	0	0	0
0	0	0	0	0	0
3	190	0	0	0	0
0	0	0	0	0	0
3	191	0	0	0	0
0	0	0	0	0	0
3	192	0	0	0	0
0	0	0	0	0	0
3	193	0	0	0	0
0	0	0	0	0	0
3	194	0	0	0	0
0	0	0	0	0	0
3	195	0	0	0	0
0	0	0	0	0	0
3	196	0	0	0	0
0	0	0	0	0	0
3	197	0	0	0	0
0	0	0	0	0	0
3	198	0	0	0	0
0	0	0	0	0	0
3	199	0	0	0	0
0	0	0	0	0	0
3	200	0	0	0	0
0	0	0	0	0	0
3	201	0	0	0	0
0	0	0	0	0	0
3	202	0	0	0	0
0	0	0	0	0	0
3	203	0	0	0	0
0	0	0	0	0	0
3	204	0	0	0	0
0	0	0	0	0	0
3	205	0	0	0	0
0	0	0	0	0	0
3	206	0	0	0	0
0	0	0	0	0	0
3	207	0	0	0	0
0	0	0	0	0	0
3	208	0	0	0	0
0	0	0	0	0	0
3	209	0	0	0	0
0	0	0	0	0	0
3	210	0	0	0	0
0	0	0	0	0	0
3	211	0	0	0	0
0	0	0	0	0	0
3	212	0	0	0	0
0	0	0	0	0	0
3	213	0	0	0	0
0	0	0	0	0	0
3	214	0	0	0	0
0	0	0	0	0	0
3	215	0	0	0	0
0	0	0	0	0	0
3	216	0	0	0	0
0	0	0	0	0	0
3	217	0	0	0	0
0	0	0	0	0	0
3	218	0	0	0	0
0	0	0	0	0	0
3	219	0	0	0	0
0	0	0	0	0	0
3	220	0	0	0	0
0	0	0	0	0	0
3	221	0	0	0	0
0	0	0	0	0	0
3	222	0	0	0	0
0	0	0	0	0	0
3	223	0	0	0	0
0	0	0	0	0	0
3	224	0	0	0	0
0	0	0	0	0	0
3	225	0	0	0	0
0	0	0	0	0	0
3	226	0	0	0	0
0	0	0	0	0	0
3	227	0	0	0	0
0	0	0	0	0	0
3	228	0	0	0	0
0	0	0	0	0	0
3	229	0	0	0	0
0	0	0	0	0	0
3	230	0	0	0	0
0	0	0	0	0	0
3	231	0	0	0	0
0	0	0	0	0	0
3	232	0	0	0	0
0	0	0	0	0	0
3	233	0	0	0	0
0	0	0	0	0	0
3	234	0	0	0	0
0	0	0	0	0	0
3	235	0	0	0	0
0	0	0	0	0	0
3	236	0	0	0	0
0	0	0	0	0	0
3	237	0	0	0	0
0	0	0	0	0	0
3	238	0	0	0	0
0	0	0	0	0	0
3	239	0	0	0	0
0	0	0	0	0	0
3	240	0	0	0	0
0	0	0	0	0	0
3	241	0	0	0	0
0	0	0	0	0	0
3	242	0	0	0	0
0	0	0	0	0	0
3	243	0	0	0	0
0	0	0	0	0	0
3	244	0	0	0	0
0	0	0	0	0	0
3	245	0	0	0	0
0	0	0	0	0	0
3	246	0	0	0	0
0	0	0	0	0	0
3	247	0	0	0	0
0	0	0	0	0	0
3	248	0	0	0	0
0	0	0	0	0	0
3	249	0	0	0	0
0	0	0	0	0	0
3	250	0	0	0	0
0	0	0	0	0	0
3	251	0	0	0	0
0	0	0	0	0	0
3	252	0	0	0	0
0	0	0	0	0	0
3	253	0	0	0	0
0	0	0	0	0	0
3	254	0	0	0	0
0	0	0	0	0	0
3	255	0	0	0	0
0	0	0	0	0	0
255	0	0	0	0	0
